{0} {1} already exists.,{0} {1} existe déjà.,
{0} {1} does not exist,{0} {1} n'existe pas,
{0} {1} has been modified after loading please reload entry.,"{0} {1} à été modifié après son chargement, rechargez l'entrée",
{0} {1} is linked with existing records.,{0} {1} est lié à des enregistrements existants.,
{0} account not set in Inventory Settings.,{0} compte non défini dans les paramètres d'inventaire,
{0} already saved,{0} déjà sauvegardé,
{0} already submitted,{0} déjà validé,
{0} cancelled,{0} annulé,
{0} cannot be cancelled,{0} ne peut pas être annulé,
{0} cannot be deleted,{0} ne peut pas être supprimé,
{0} deleted,{0} supprimé,
{0} entries failed,{0} entrées en échec,
{0} entries imported,{0} entrées importées,
{0} entry failed,{0} entrée en échec,
{0} entry imported,{0} entrée importée,
{0} fields selected,{0} champs sélectionnés,
{0} filters applied,{0} filtres appliqués,
{0} has linked child accounts.,{0} a des comptes enfants liés,
{0} of type {1} does not exist,{0} de type {1} n'existe pas,
{0} out of {1},{0} parmi {1},
{0} party {1} is different from {2},{0} tiers {1} est différent de {2},
{0} quantity 1 added.,{0} quantité 1 ajoutée.,
{0} row added.,{0} ligne ajoutée.,
{0} rows,{0} lignes,
{0} rows added.,{0} lignes ajoutées,
{0} saved,{0} sauvegardé,
{0} shortcuts,{0} raccourcis clavier,
{0} stored at {1},{0} enregistré à {1},
{0} submitted,{0} validé,
{0} value {1} does not exist.,{0} valeur {1} n'existe pas.,
0%,0%,
1 filter applied,1 filtre appliqué,
9888900000,06 12 34 56 78,
A submittable entry is deleted only if it is in the cancelled state.,Une entrée validable est supprimée seulement si elle est annulée,
Account,Compte,
Account {0} does not exist.,Le Compte {0} n'existe pas.,
Account Entries,Entrées de compte,
Account Name,Nom du compte,
Account Type,Type de compte,
Accounting,Comptabilité,
Accounting Entries,Entrées de compte,
Accounting Ledger Entry,Entrée dans le registre comptable,
Accounting Settings,Paramètres de comptabilité,
Accounts,Comptes,
Accounts Payable,Comptes créditeurs,
Accounts Receivable,Comptes débiteurs,
Accumulated Depreciation,Amortissement cumulé,
Action,Action,
Active,Actif,
Add Account,Ajouter un compte,
Add Customers,Ajouter des clients,
Add Group,Ajouter un groupe,
Add Items,Ajouter des éléments,
Add Row,Ajouter une ligne,
Add Suppliers,Ajouter des fournisseurs,
Add Taxes,Ajouter des taxes,
Add a few customers to create your first sales invoice,Ajoutez quelques clients pour créer votre première facture de vente,
Add a few suppliers to create your first purchase invoice,Ajoutez quelques fournisseurs pour créer votre première facture d'achat,
Add a filter,Ajouter un filtre,
Add a remark,Ajouter une remarque,
Add attachment,Ajouter un fichier attaché,
Add invoice terms,Ajouter votre politique de vente,
Add products or services that you buy from your suppliers,Ajoutez des produits ou services que vous achetez à vos fournisseurs,
