{0} {1} already exists.,{0} {1} ja existeix.,
{0} {1} is linked with existing records.,{0} {1} té relació amb un registre que ja existeix.,
{0} filters applied,{0} filtres aplicats,
1 filter applied,1 filtre aplicat,
Account,Compte,
Account Entries,Moviments del compte,
Account Name,Nom del compte,
Account Type,Tipus de compte,
Accounting Settings,Ajustaments de comptabilitat,
Accounts,Accounts,
Accounts Payable,Comptes per pagaments,
Accounts Receivable,Comptes d’entrada,
Accumulated Depreciation,Accumulated Depreciation,
Add Account,Afegir compte,
Add Customers,Afegir clients,
Add Group,Afegir grup,
Add Items,Afegir ítems,
Add Row,Afegir columna,
Add Suppliers,Afegir proveïdor,
Add Taxes,Afegir taxes,
Add a filter,Afegir un filtre,
Add products or services that you buy from your suppliers,Afegeix productes o serveis que compris a proveïdors,
Add products or services that you sell to your customers,Afegeix productes o serveis que venguis a clients,
Address,Direcció,
Address Display,Mostrar direcció,
Address Line 1,Direcció línea 1,
Address Line 2,Direcció línea 2,
Administrative Expenses,Despeses administratives,
Amount,Quantitat,
Amount: {0} and writeoff: {1} is less than the total amount allocated to references: {2}.,Quantitat: {0} i quantitat cancel·lada: {1} és menor que la quantitat total que figura a les referències: {2}.,
Amount: {0} is less than the total amount allocated to references: {1}.,Quantitat: {0} és menor que la quantitat total que figura a les referències: {1}.,
An error occurred.,Hi ha hagut un error.,
Application of Funds (Assets),Aplicació de fons (Actius),
Balance,Balanç,
Balance Sheet,Full de balanç,
Bank Accounts,Comptes bancaris,
Bank Entry,Entrada bancària,
Bank Name,Nom del banc,
Bank Overdraft Account,Compte bancari d’exedents,
Bill Created,Factura creada,
Black,Negre,
Both,Ambdós,
Buildings,Buildings,
Cancel,Cancel·la,
Cancelled,Cancel·lat,
Capital Equipments,Capital Equipments,
Capital Stock,Capital Stock,
Cash,Efectiu,
Cash Entry,Entrades d'efectiu,
Cash In Hand,Efectiu disponible,
Cashflow,Flux,
Central Tax,Tributacions,
Change File,Canviar fitxer,
Chart Of Accounts Reviewed,Diagrama de comptes revisat,
