{0} {1} already exists.,{0} {1} zaten var.,
{0} {1} is linked with existing records.,{0} {1} varolan kayıtlarla bağlantılıdır.,
{0} filters applied,{0} uygulanan filtreler,
{0} rows,{0} satırları,
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
1 filter applied,1 filtre uygulandı,
2022-03-23,2022-03-23,
"23 Mar, 2022",23.03.2022,
23-03-2022,23-03-2022,
23/03/2022,23/03/2022,
9888900000,9888900000,
Account,Hesap,
Account Entries,Hesap Girişleri,
Account Name,Hesap Adı,
Account Type,Hesap Türü,
Accounting Ledger Entry,Muhasebe Defteri Girdisi,
Accounting Settings,Muhasebe Ayarları,
Accounts,Hesaplar,
Accounts Payable,Ödenecek Hesaplar,
Accounts Receivable,Alacak Hesapları,
Accumulated Depreciation,Birikmiş Amortisman,
Add Account,Hesap Ekle,
Add Customers,Müşteri Ekle,
Add Group,Grup Ekle,
Add Items,Öğe Ekle,
Add Row,Satır Ekle,
Add Suppliers,Tedarikçi Ekle,
Add Taxes,Vergi Ekle,
Add a filter,Filtre ekleme,
Add a remark,Bir açıklama ekle,
Add invoice terms,Fatura koşulları ekleme,
Add products or services that you buy from your suppliers,Tedarikçilerinizden satın aldığınız ürün veya hizmetleri ekleyin,
Add products or services that you sell to your customers,Müşterilerinize sattığınız ürün veya hizmetleri ekleyin,
Address,Adres,
Address Display,Adres Ekranı,
Address Line 1,Adres Satırı 1,
Address Line 2,Adres Satırı 2,
Administrative Expenses,İdari Giderler,
All,Tüm,
Amount,Miktar,
Amount: {0} and writeoff: {1} is less than the total amount allocated to references: {2}.,"Amount: {0} ve writeoff: {1}, başvurulara ayrılan toplam tutardan daha azdır: {2}.",
Amount: {0} is less than the total amount allocated to references: {1}.,"Tutar: {0}, başvurulara ayrılan toplam tutardan daha azdır: {1}.",
An error occurred.,Bir hata oluştu.,
Application of Funds (Assets),Fonların (Varlıkların) Uygulanması,
Arial,Arial,
Ascending Order,Artan Düzen,
Asset,Varlık,
Balance,Denge,
Balance Sheet,bilanço,
Bank,Banka,
Bank Accounts,banka hesabı,
Bank Entry,Banka Girişi,
Bank Name,Banka Adı,
Bank Overdraft Account,Banka Kredili Mevduat Hesabı,
Based On,dayalı,
Bill Created,Fatura Oluşturuldu,
Black,Siyah,
Blue,Mavi,
Both,Her ikisi de,
Buildings,Site,
Cancel,İptal etmek,
Cancelled,İptal edildi,
Capital Equipments,Sermaye Ekipmanları,
Capital Stock,Sermaye Stoğu,
Cash,Nakit,
Cash Entry,Nakit Girişi,
Cash In Hand,Elinde Nakit,
Cashflow,Nakit Akışı,
Central Tax,Merkezi Vergi,
Change File,Dosyayı Değiştir,
Change Ref Type,Ref Türünü Değiştir,
Chargeable,Ödetilebilir,
Chart Of Accounts Reviewed,İncelenen Hesap Planı,
Chart of Accounts,Hesap Planı,
Cheque,Çek,
City / Town,Şehir,
Clear,Açık,
Clearance Date,İzin Tarihi,
Close,Kapatma,
Closing,Kapanma,
Closing (Cr),Kapanış (Cr),
Closing (Dr),Kapanış (Dr),
Color,Renk,
Commission on Sales,Satış Komisyonu,
Common,Genel,
Company Logo,Şirket Logosu,
Company Name,Şirket Adı,
Company Setup,Şirket Kurulumu,
Completed,Tamamlandı,
Condition,Koşul,
Consolidate Columns,Sütunları Birleştir,
Contains,İçeriyor,
Contra Entry,Kontra Giriş,
Cost of Goods Sold,Satılan Malların Maliyeti,
Country,Ülke,
Country Code,Ülke Kodu,
Country code used to initialize regional settings.,Bölgesel ayarları başlatmak için kullanılan ülke kodu.,
Courier,Kurye,
Cr.,Cr.,
Create,Uretmek,
Create Demo,Demo Oluştur,
Create Purchase,Satın Alma Oluştur,
Create Sale,Satış Oluştur,
Created,Üretildi,
Created By,Tarafından oluşturuldu,
